Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64184343164a75040464ad07,5f2af36061a10a452cd8dc4e,AWAITING REVIEW,2023-03-20T11:28:11.312000Z,2023-03-20T11:31:27.532000Z,,2023-03-20T11:31:28.310567Z,197,C2AG44FS,922,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641843471b55418a757c0a93,60b519b9fad3d14fde8a75a2,AWAITING REVIEW,2023-03-20T11:28:13.947000Z,2023-03-20T11:34:01.550000Z,,2023-03-20T11:34:02.252147Z,348,C2AG44FS,155,"English, Tamil",31,Female,Asian,India,United Kingdom,India,Tamil,No,DATA_EXPIRED
641843520ffdb0d10dc51d73,569c01a19e8363000b2ffa33,AWAITING REVIEW,2023-03-20T11:28:22.665000Z,2023-03-20T11:30:45.652000Z,,2023-03-20T11:30:46.321730Z,143,C2AG44FS,321,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6418435ca2242c6e548915e4,5a622a7f35f26b0001490a5f,AWAITING REVIEW,2023-03-20T11:28:51.136000Z,2023-03-20T11:31:21.745000Z,,2023-03-20T11:31:22.719585Z,151,C2AG44FS,848,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418435f4a2566cdb2ba9869,60c9c51c88ea655541c578f3,AWAITING REVIEW,2023-03-20T11:28:34.179000Z,2023-03-20T11:33:03.970000Z,,2023-03-20T11:33:04.526012Z,270,C2AG44FS,855,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64184360435094761df110f2,6346b5748535b7ef72873c93,AWAITING REVIEW,2023-03-20T11:28:36.712000Z,2023-03-20T11:34:03.843000Z,,2023-03-20T11:34:04.441279Z,328,C2AG44FS,198,English,42,Female,Mixed,Mauritius,United Kingdom,United Kingdom,English,No,Part-Time
64184360e953ecf28a64acc6,5c7d4bd96babcb000184fe7e,AWAITING REVIEW,2023-03-20T11:28:35.979000Z,2023-03-20T11:31:15.160000Z,,2023-03-20T11:31:15.717172Z,160,C2AG44FS,416,"English, Hindi, Urdu",25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6418436226f8d5322face6d5,610b0dae56012bc2f6e66183,AWAITING REVIEW,2023-03-20T11:28:38.181000Z,2023-03-20T11:32:04.446000Z,,2023-03-20T11:32:07.029392Z,207,C2AG44FS,790,English,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641843678c68ba43d7b5bb9c,5dc97a605cb36e6919613bcd,AWAITING REVIEW,2023-03-20T11:28:42.091000Z,2023-03-20T11:33:47.927000Z,,2023-03-20T11:33:48.505136Z,306,C2AG44FS,961,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64184367ff651b61ea2d10bd,5dda787ac944d19d99bdcfdf,AWAITING REVIEW,2023-03-20T11:28:44.488000Z,2023-03-20T11:33:53.868000Z,,2023-03-20T11:33:55.536642Z,310,C2AG44FS,873,English,78,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641843685b3c420078b90732,638e790554b323893705ef82,AWAITING REVIEW,2023-03-20T11:28:45.869000Z,2023-03-20T11:31:33.304000Z,,2023-03-20T11:31:33.856163Z,168,C2AG44FS,43,English,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
